distance_km,current_speed,preceding_gap_km,signal_aspect,congestion_index,weather_impact,speed_restriction,actual_time_mins
62,53.11,16.58,2,0.69,1.0,110,81.66
62,40.16,8.13,2,0.11,1.0,110,96.92
62,92.06,11.09,0,0.33,1.5,80,123.9
84,63.54,15.48,2,0.39,1.2,110,102.05
15,49.02,19.31,0,0.24,1.0,110,34.95
62,106.35,20.85,2,0.89,1.5,110,69.18
15,51.7,19.47,2,0.22,1.0,80,23.35
55,72.31,17.13,2,0.45,1.0,110,54.58
76,56.29,17.23,2,0.69,1.0,30,164.85
15,61.49,7.04,2,0.4,1.0,80,22.91
15,109.86,21.28,2,0.27,1.0,110,14.93
68,82.15,15.0,1,0.26,1.0,50,142.2
15,71.88,9.75,2,0.8,1.0,80,28.78
68,58.85,11.59,2,0.36,1.5,80,110.02
15,104.63,5.89,2,0.18,1.0,110,14.04
55,59.72,15.21,0,0.53,1.0,80,102.89
84,84.64,9.06,2,0.89,1.5,50,166.54
84,77.01,8.7,2,0.87,1.2,110,94.34
68,91.3,18.94,0,0.42,1.0,110,82.58
68,91.92,5.39,1,0.48,1.0,50,145.57
15,104.42,22.24,2,0.42,1.0,80,19.31
84,96.35,9.15,1,0.53,1.0,110,96.4
15,56.19,10.45,2,0.31,1.0,110,26.21
84,57.97,4.87,2,0.43,1.0,110,153.93
15,80.26,8.0,2,0.12,1.0,110,14.62
62,64.12,19.21,2,0.98,1.0,80,74.86
76,71.44,6.55,0,0.75,1.2,110,140.29
76,57.2,15.17,2,0.76,1.0,110,94.32
68,88.52,8.02,2,0.26,1.5,80,81.52
55,97.87,2.06,2,0.34,1.2,110,73.32
84,98.11,5.93,2,0.64,1.0,50,113.84
84,105.83,16.86,1,0.97,1.0,110,96.09
84,82.17,21.56,0,0.82,1.0,50,181.92
62,74.32,16.3,2,0.42,1.0,110,58.39
62,74.21,21.78,1,0.92,1.2,110,116.21
15,75.53,19.93,1,0.43,1.2,110,32.71
55,99.64,10.76,2,0.26,1.0,50,71.63
84,52.47,4.15,2,0.66,1.0,80,171.44
62,43.74,24.54,2,0.52,1.0,110,95.19
68,45.0,24.59,2,0.87,1.0,110,106.34
15,52.84,15.88,0,0.65,1.0,110,39.47
62,59.85,22.05,2,0.48,1.0,110,70.34
55,43.43,21.26,2,0.83,1.0,80,91.85
55,100.9,2.2,2,0.37,1.0,30,190.85
84,53.58,21.48,2,0.67,1.0,110,105.4
84,40.48,16.44,2,0.63,1.0,110,137.51
68,40.61,5.64,2,0.32,1.5,110,158.75
68,74.8,7.04,2,0.86,1.0,110,69.06
62,83.61,15.42,2,0.9,1.0,50,90.06
84,107.81,19.29,1,0.41,1.0,110,86.19
15,98.92,14.31,2,0.3,1.2,110,17.76
68,102.36,3.87,2,0.8,1.0,110,80.92
68,60.2,13.74,1,0.68,1.0,110,126.12
68,109.87,20.94,2,0.48,1.0,110,47.76
15,100.26,3.24,2,0.92,1.0,110,30.13
76,93.29,6.97,2,0.51,1.2,80,78.44
84,74.53,12.34,2,0.59,1.0,50,111.62
55,82.39,24.65,1,0.81,1.0,80,83.85
68,78.31,12.57,2,0.69,1.0,50,92.45
15,60.47,11.1,2,0.36,1.5,80,28.85
76,73.37,24.81,2,0.42,1.0,50,99.3
68,98.77,19.94,0,0.43,1.5,80,133.75
76,108.47,24.94,2,0.46,1.0,80,66.35
15,82.01,6.98,2,0.13,1.0,110,14.25
68,64.83,23.12,2,0.95,1.2,110,92.54
68,77.0,22.02,1,0.83,1.0,110,102.09
76,41.3,17.32,2,0.66,1.0,50,119.97
55,72.57,22.4,1,0.19,1.0,80,80.28
76,90.29,10.54,2,0.68,1.0,110,62.23
62,81.65,24.97,2,0.1,1.2,80,59.17
84,76.63,17.2,2,0.32,1.0,80,72.24
62,61.07,15.09,2,0.16,1.0,110,64.85
55,97.98,12.7,1,0.8,1.2,80,97.06
76,44.12,14.18,0,0.13,1.0,80,176.63
84,84.89,8.4,1,0.12,1.0,110,103.03
68,104.85,13.98,2,0.56,1.0,80,61.75
55,93.07,20.93,2,0.79,1.0,110,48.06
15,107.37,5.42,2,0.61,1.5,110,23.53
55,106.9,11.8,1,0.56,1.0,110,60.75
68,65.04,19.54,1,0.89,1.5,30,355.38
62,56.71,12.29,2,0.29,1.0,50,81.97
76,95.77,15.48,1,0.84,1.0,110,95.56
68,98.96,14.63,2,0.96,1.5,50,138.37
68,95.7,19.89,0,0.26,1.5,50,209.48
55,88.15,19.64,1,0.54,1.0,110,71.44
76,67.4,9.96,1,0.35,1.0,80,120.63
68,99.97,16.02,2,0.62,1.0,110,51.97
62,52.05,5.73,2,0.69,1.5,80,119.17
15,71.82,20.08,2,0.71,1.0,110,25.56
62,48.89,6.31,0,0.66,1.0,80,139.94
15,69.44,15.56,2,0.36,1.5,110,26.68
55,61.15,15.39,2,0.9,1.2,80,80.89
76,88.05,19.07,2,0.44,1.2,30,190.47
55,94.8,21.21,2,0.51,1.0,110,44.69
68,42.21,11.96,2,0.72,1.0,110,106.32
68,107.2,8.25,2,0.48,1.0,110,46.65
68,78.23,10.62,1,0.86,1.0,110,101.47
84,109.01,23.68,2,0.57,1.0,80,75.14
15,108.39,24.41,1,0.79,1.2,80,37.02
84,102.36,3.75,2,0.31,1.0,110,87.36
68,71.04,15.9,1,0.91,1.0,80,111.75
76,51.76,23.17,2,0.75,1.0,110,101.13
15,53.9,2.08,2,0.39,1.0,80,36.21
84,83.52,24.0,0,0.48,1.0,80,113.74
55,103.74,13.31,2,0.48,1.2,80,57.69
68,58.3,11.51,2,0.81,1.2,110,98.44
84,72.18,5.54,2,0.87,1.2,110,97.34
55,52.0,10.55,2,0.5,1.2,110,85.76
15,80.96,19.78,2,0.28,1.0,110,17.31
68,56.28,24.13,2,0.46,1.2,30,170.24
84,61.34,21.93,2,0.21,1.0,110,86.12
55,69.24,4.91,2,0.63,1.2,30,229.76
76,84.11,18.48,2,0.25,1.5,80,91.66
76,43.22,8.58,0,0.97,1.0,50,192.05
62,105.49,7.23,2,0.24,1.0,80,51.22
55,40.28,6.54,2,0.73,1.0,50,94.74
76,105.15,13.01,2,0.77,1.2,80,82.43
55,104.56,17.93,1,0.27,1.0,80,75.44
84,67.97,11.43,2,0.88,1.0,30,182.05
15,93.37,3.3,2,0.51,1.5,80,36.88
55,49.65,19.07,2,0.95,1.0,110,83.77
62,89.4,15.28,1,0.36,1.0,80,84.71
62,48.22,11.59,2,0.26,1.2,50,99.44
76,54.26,20.32,1,0.82,1.0,110,152.34
55,45.95,15.4,2,0.88,1.0,110,87.59
68,62.28,24.99,2,0.18,1.0,30,140.29
55,99.44,15.51,1,0.11,1.2,110,68.31
68,92.54,22.21,2,0.39,1.5,110,73.18
55,80.05,8.85,2,0.71,1.0,110,55.3
84,71.64,9.17,2,0.61,1.2,80,96.14
15,48.03,21.38,2,0.21,1.0,50,24.34
76,89.09,16.86,1,0.97,1.0,80,110.83
15,64.3,21.35,0,0.98,1.0,80,39.75
55,56.18,24.22,2,0.11,1.0,80,61.72
62,72.93,24.54,1,0.67,1.0,110,98.05
55,66.38,19.11,2,0.11,1.0,80,53.41
55,106.58,22.69,1,0.92,1.2,80,99.23
15,59.83,15.61,2,0.78,1.0,110,28.45
55,47.47,23.1,2,0.92,1.2,50,98.87
15,66.65,12.37,2,0.57,1.0,110,23.7
15,72.62,15.92,0,0.9,1.0,30,65.07
55,74.25,21.98,2,0.83,1.0,50,78.24
68,107.25,21.06,2,0.45,1.0,110,45.18
76,40.76,2.13,2,0.54,1.0,80,197.45
62,50.26,5.37,1,0.36,1.2,110,155.18
55,61.08,7.64,2,0.6,1.0,110,65.19
62,71.27,17.31,2,0.35,1.0,80,60.45
84,105.77,16.81,0,0.12,1.0,110,83.19
84,73.33,9.31,2,0.4,1.0,110,79.18
68,54.14,24.3,2,0.61,1.2,110,102.57
84,56.47,6.03,2,0.98,1.2,80,123.15
76,66.9,21.6,2,0.63,1.0,110,79.8
76,50.43,8.39,2,0.11,1.0,110,94.2
55,107.59,9.79,2,0.61,1.2,110,49.11
68,73.81,17.4,2,0.62,1.0,80,66.98
55,95.69,2.85,2,0.68,1.5,110,97.29
15,57.78,18.07,2,0.31,1.2,80,26.3
15,62.77,11.7,1,0.32,1.2,80,37.04
76,109.55,18.97,2,0.22,1.0,50,97.57
84,101.55,10.0,2,0.3,1.2,80,81.81
68,92.45,3.68,2,0.74,1.0,110,86.18
15,99.04,11.61,2,0.99,1.0,110,27.86
15,90.45,23.58,2,0.84,1.0,80,24.74
76,85.95,10.98,2,0.49,1.2,110,73.58
62,76.75,14.55,1,0.52,1.5,110,131.67
55,89.9,14.72,2,0.13,1.0,30,112.5
76,77.96,17.24,1,0.39,1.0,110,104.97
84,76.24,15.62,2,0.18,1.2,110,82.83
15,47.74,4.42,2,0.8,1.0,50,46.64
84,75.52,2.91,2,0.84,1.2,110,148.93
68,61.45,10.8,2,0.11,1.0,80,69.39
76,89.78,19.81,0,0.55,1.0,110,95.41
76,88.45,11.16,0,0.18,1.2,30,307.85
55,52.86,7.27,1,0.13,1.0,110,109.51
84,67.95,19.16,1,0.38,1.0,80,131.35
84,54.78,2.61,2,0.12,1.5,50,255.02
15,106.88,22.27,1,0.41,1.0,110,24.16
68,61.83,4.68,2,0.99,1.0,110,127.62
15,92.77,22.27,1,0.41,1.5,110,32.89
15,74.78,3.06,2,0.79,1.0,110,34.85
68,50.87,20.93,1,0.48,1.5,80,207.88
84,96.78,17.74,2,0.96,1.2,50,135.26
15,45.34,23.39,2,0.93,1.0,110,37.13
84,65.32,15.34,2,0.63,1.0,50,112.87
84,103.43,22.99,0,0.17,1.0,80,108.97
15,75.87,3.46,2,0.98,1.0,80,37.3
15,72.72,5.59,2,0.3,1.2,30,40.79
55,76.17,6.2,2,1.0,1.5,110,80.16
15,69.35,22.4,1,0.46,1.0,110,29.6
76,99.48,20.35,2,0.73,1.2,110,68.25
62,68.94,18.11,2,0.71,1.0,80,66.79
84,70.47,12.38,2,0.93,1.0,110,87.41
76,105.23,12.56,1,0.93,1.0,80,111.82
15,69.61,17.49,2,0.39,1.2,50,30.12
76,62.74,21.46,2,0.51,1.0,110,81.32
15,46.42,19.88,2,0.87,1.0,110,33.78
55,50.37,6.32,2,0.65,1.2,80,90.43
55,50.04,13.68,2,0.24,1.0,110,70.96
68,109.45,4.28,2,0.58,1.0,110,73.24
55,52.5,20.94,1,0.52,1.0,50,119.77
68,83.84,20.84,2,0.33,1.2,50,103.47
68,80.63,9.83,1,0.27,1.0,110,93.12
84,71.53,5.89,2,0.37,1.0,110,78.81
84,80.28,21.0,1,0.49,1.0,110,115.09
55,64.11,2.26,2,0.54,1.0,110,96.78
15,76.04,21.96,2,0.8,1.0,30,44.96
15,48.72,17.04,1,0.78,1.0,110,45.58
15,78.28,23.98,2,0.61,1.0,50,29.66
76,103.03,20.11,0,0.47,1.0,110,84.2
84,104.03,10.01,1,0.3,1.0,50,172.98
84,44.77,8.95,2,0.49,1.0,80,122.63
62,53.09,10.3,2,0.88,1.0,80,83.52
62,95.82,4.74,2,0.39,1.0,80,86.13
76,67.81,7.66,1,0.87,1.0,80,126.24
76,73.27,6.94,1,0.16,1.0,80,107.25
62,60.63,4.07,1,0.79,1.5,80,166.76
55,77.71,21.4,0,0.64,1.2,110,97.13
55,98.85,12.08,1,0.59,1.2,80,93.08
84,95.75,7.8,0,0.46,1.2,50,209.54
55,42.14,19.29,2,0.35,1.0,110,85.12
84,83.49,11.65,2,0.96,1.0,110,77.0
76,104.86,11.87,2,0.99,1.0,80,73.38
62,99.83,6.73,2,0.11,1.0,50,78.44
84,59.39,7.09,2,0.79,1.2,110,114.91
84,91.73,3.88,2,0.41,1.0,80,112.25
55,102.31,24.21,1,0.73,1.2,110,77.28
55,99.9,20.94,2,0.14,1.0,80,43.38
62,49.81,10.24,2,0.61,1.0,50,88.66
62,84.13,3.58,1,0.59,1.0,110,85.65
84,102.03,10.13,1,0.24,1.2,110,105.03
15,93.25,15.97,2,0.81,1.5,80,31.23
68,55.29,16.89,2,0.1,1.2,110,91.39
84,70.34,18.2,2,0.51,1.0,80,80.5
84,67.7,17.09,2,0.81,1.2,80,103.23
84,88.3,16.77,2,0.29,1.2,80,81.57
62,85.07,19.71,2,0.26,1.0,30,129.22
76,104.68,8.07,2,0.14,1.0,110,47.46
76,107.97,14.64,1,0.86,1.0,110,84.59
76,73.63,4.75,2,0.64,1.0,80,113.38
55,57.36,2.89,2,0.81,1.0,80,109.98
62,105.75,9.27,2,0.74,1.2,110,56.95
55,102.86,5.86,2,0.8,1.0,110,46.59
84,104.56,12.02,2,0.51,1.0,110,58.4
55,52.46,3.78,2,0.86,1.0,30,199.97
84,59.02,7.34,2,0.3,1.0,110,91.64
68,48.02,3.22,2,0.14,1.0,50,147.02
15,87.52,5.35,1,0.63,1.0,80,30.47
15,48.4,7.69,2,0.22,1.5,80,33.45
55,70.28,2.97,1,0.17,1.0,50,113.25
68,92.9,8.84,2,0.97,1.2,110,68.54
62,68.74,13.59,2,0.7,1.5,50,123.92
55,108.51,21.49,2,0.23,1.0,110,33.93
55,57.64,2.51,1,0.69,1.5,50,177.41
76,73.13,12.62,2,0.37,1.0,110,70.38
55,44.08,14.96,2,0.22,1.0,50,80.27
68,49.87,16.07,1,0.68,1.5,110,216.04
84,48.63,12.75,2,0.48,1.2,80,133.01
68,45.57,2.46,2,0.59,1.0,80,158.78
84,107.81,17.38,2,0.99,1.0,80,80.37
68,61.34,13.07,2,0.29,1.2,110,86.29
15,78.88,8.73,2,0.47,1.0,110,19.55
55,51.82,19.15,2,0.87,1.0,110,78.45
55,75.71,24.29,2,0.47,1.2,110,61.6
55,76.3,12.12,2,0.75,1.2,110,64.78
55,62.11,15.33,2,0.6,1.0,80,62.92
15,52.77,13.22,2,0.28,1.0,110,24.5
84,108.03,20.6,2,0.31,1.0,30,174.9
15,45.78,21.37,1,0.54,1.0,110,42.74
76,62.86,16.93,2,0.68,1.0,110,84.51
15,109.14,13.21,1,0.79,1.0,110,28.09
15,52.58,14.32,2,0.91,1.2,50,37.74
68,77.22,20.86,2,0.31,1.0,110,60.55
62,108.09,19.11,0,0.25,1.2,80,97.4
55,88.99,24.86,2,0.76,1.0,80,55.12
68,56.55,9.32,2,0.76,1.0,110,85.24
84,44.51,11.59,2,0.22,1.0,30,173.5
62,94.17,11.07,2,0.19,1.2,110,52.36
62,97.27,6.19,0,0.95,1.0,110,79.14
15,102.47,10.86,2,0.22,1.0,110,15.3
68,58.73,5.05,2,0.71,1.0,30,148.55
84,101.42,14.07,2,0.88,1.0,30,184.28
76,77.4,21.92,2,0.82,1.5,110,102.91
55,64.98,18.94,2,0.78,1.2,110,75.2
84,43.63,10.8,2,1.0,1.0,110,132.54
76,91.26,19.85,0,0.28,1.5,110,130.52
62,74.39,3.54,2,0.9,1.0,110,98.31
15,108.26,18.39,2,0.68,1.0,110,21.92
55,77.63,17.06,2,0.99,1.2,110,67.48
15,104.2,4.51,1,0.31,1.5,30,82.43
15,53.63,24.59,2,0.95,1.0,110,35.04
62,108.78,12.35,2,0.37,1.0,50,81.43
84,94.26,6.9,1,0.28,1.0,50,172.8
76,103.97,9.88,2,0.97,1.0,110,59.0
76,80.73,23.57,1,0.51,1.0,110,102.97
68,85.03,13.92,0,0.99,1.2,80,117.95
62,46.13,13.39,2,0.91,1.0,110,95.21
15,57.29,20.43,2,0.37,1.0,50,26.78
76,77.87,8.76,1,0.88,1.0,80,112.96
55,41.44,6.92,1,0.13,1.0,80,137.16
15,62.8,6.47,1,0.9,1.0,110,40.14
76,64.46,17.64,2,0.97,1.0,110,87.18
55,83.87,23.46,2,0.64,1.0,50,77.91
68,53.42,5.26,2,0.12,1.0,110,80.53
15,84.74,23.93,1,0.77,1.0,110,31.7
84,75.98,21.1,1,0.44,1.2,110,141.47
76,102.37,12.02,2,0.74,1.0,110,58.14
84,94.75,17.98,2,0.56,1.0,80,73.29
15,50.88,16.48,2,0.6,1.2,50,33.45
68,43.51,12.93,0,0.75,1.0,50,170.28
55,83.78,21.25,0,0.97,1.0,110,81.17
62,61.07,23.64,1,0.93,1.5,50,202.2
84,58.75,3.38,2,0.66,1.5,110,225.18
84,61.21,4.25,2,0.26,1.0,110,142.94
68,64.79,4.67,2,0.28,1.2,30,278.38
15,94.8,19.46,2,0.96,1.2,80,30.93
68,86.95,11.44,2,0.69,1.2,80,73.32
15,105.17,15.5,2,0.27,1.5,110,19.4
55,75.24,15.16,2,0.53,1.0,110,55.32
62,100.16,10.9,2,0.41,1.0,80,53.95
55,43.57,17.95,2,0.48,1.0,110,85.01
55,56.71,21.23,2,0.31,1.5,110,93.01
55,95.14,18.88,2,0.24,1.0,50,71.47
76,62.83,12.21,2,0.66,1.0,80,82.26
76,69.82,14.28,1,0.83,1.0,80,123.31
76,91.46,9.81,2,0.76,1.2,80,81.05
68,87.96,20.53,2,0.77,1.2,110,69.94
76,62.33,10.6,2,0.88,1.0,110,89.45
15,81.08,9.12,2,0.84,1.0,110,25.18
84,91.45,6.48,2,0.63,1.0,30,180.42
62,52.91,14.02,2,0.17,1.0,50,79.94
68,85.09,6.1,2,0.37,1.0,80,59.11
84,71.88,18.07,0,0.45,1.0,30,288.28
62,82.17,12.32,0,0.35,1.0,80,83.46
55,101.87,9.87,1,0.64,1.0,110,67.45
62,109.24,22.7,1,0.9,1.2,110,82.9
55,88.38,23.42,1,0.16,1.0,50,116.29
84,52.11,2.17,2,0.25,1.5,50,260.35
55,52.38,14.53,2,0.3,1.2,110,82.11
62,70.42,18.07,2,0.79,1.2,50,102.79
15,60.46,3.05,2,0.14,1.0,110,27.24
15,45.02,8.73,0,0.75,1.2,110,52.63
84,78.67,20.02,2,0.92,1.2,110,90.7
68,71.22,11.84,2,0.76,1.2,110,81.91
68,56.77,11.99,1,0.89,1.0,50,151.41
55,109.27,14.28,1,0.69,1.0,110,62.46
15,71.05,9.9,1,0.92,1.2,80,40.57
76,82.94,9.93,2,0.29,1.0,50,97.43
15,44.18,4.55,2,0.77,1.2,50,55.01
76,43.9,23.13,2,0.49,1.0,80,114.41
68,70.2,18.31,2,0.81,1.0,110,71.14
62,94.06,7.87,1,0.44,1.0,110,73.81
55,88.96,9.49,2,0.29,1.0,80,48.7
62,43.48,17.06,0,0.15,1.0,110,146.06
62,100.06,6.38,2,0.35,1.0,110,44.17
15,61.79,13.7,0,0.24,1.5,110,43.34
68,66.63,8.59,2,0.13,1.0,110,63.6
62,90.22,13.88,0,0.17,1.2,80,96.95
55,44.37,16.49,0,0.26,1.0,110,130.1
84,108.89,22.21,2,0.9,1.0,80,78.31
62,63.55,2.0,2,0.8,1.0,50,138.68
55,104.99,8.07,1,0.65,1.0,30,194.93
15,87.99,9.37,2,0.35,1.0,80,18.77
15,81.82,8.06,1,0.42,1.5,80,36.18
15,82.61,8.98,2,0.66,1.0,50,28.93
55,100.71,4.76,2,0.35,1.0,30,192.48
84,48.0,8.29,2,0.63,1.2,110,138.29
62,55.77,5.72,2,0.74,1.0,50,87.7
62,76.77,21.65,2,0.75,1.0,50,87.65
62,105.46,9.75,2,0.98,1.2,30,163.94
55,42.73,3.36,0,0.8,1.0,110,143.93
68,72.81,16.61,2,0.64,1.2,110,78.58
84,107.52,21.11,1,0.82,1.0,30,295.26
62,107.37,11.94,2,0.58,1.0,110,44.41
84,99.11,16.84,2,0.94,1.2,110,77.24
84,83.48,2.45,2,0.19,1.0,30,285.33
62,51.83,21.73,2,0.8,1.5,80,121.59
84,79.14,22.41,2,0.41,1.0,30,177.28
15,55.37,20.78,2,0.27,1.0,110,22.46
55,90.8,8.01,2,0.47,1.0,80,49.45
62,65.12,18.49,2,0.97,1.0,110,74.09
55,86.85,22.66,2,0.54,1.0,110,49.13
68,66.51,2.67,2,0.81,1.0,80,116.08
76,73.62,5.41,2,0.77,1.0,50,105.22
84,98.44,14.4,0,0.91,1.0,80,120.02
68,79.04,9.96,2,0.82,1.0,110,65.85
15,61.36,18.73,2,0.53,1.0,110,24.69
55,47.9,5.59,2,0.39,1.0,80,76.95
15,68.86,17.41,2,0.49,1.0,80,23.77
62,109.29,23.52,2,0.77,1.0,110,46.33
68,95.28,22.46,2,0.15,1.0,50,84.91
15,88.99,8.36,2,0.13,1.5,30,48.38
55,84.56,20.21,1,0.79,1.0,110,79.58
55,81.92,10.69,2,0.88,1.0,50,81.2
84,53.06,24.5,2,0.33,1.0,110,102.36
15,95.53,17.99,0,0.63,1.0,50,42.18
84,80.58,21.33,2,0.14,1.2,110,79.76
55,104.46,9.49,1,0.49,1.2,80,93.46
15,92.78,19.93,2,0.94,1.5,110,31.27
84,79.8,2.6,1,0.49,1.0,80,115.55
84,103.12,20.53,0,0.32,1.2,110,104.55
68,108.66,16.98,2,0.28,1.2,30,169.68
62,75.56,14.97,2,0.34,1.5,110,81.81
15,71.81,6.26,1,0.19,1.0,30,55.54
68,51.11,14.23,1,0.19,1.0,110,137.74
15,73.08,16.87,2,0.92,1.0,80,27.58
62,50.3,4.31,1,0.82,1.0,50,139.5
68,103.88,15.5,2,0.88,1.0,110,52.3
62,77.07,10.9,2,0.63,1.0,110,58.64
76,91.46,10.71,2,0.49,1.0,30,162.79
84,77.84,14.48,2,0.44,1.5,110,105.72
76,98.93,23.87,2,0.26,1.0,30,159.97
15,55.59,24.29,2,0.72,1.0,110,29.89
76,92.17,13.3,2,0.23,1.2,110,65.18
84,85.68,9.03,1,0.54,1.0,80,116.2
15,56.46,19.9,1,0.74,1.0,50,42.54
76,72.35,21.66,2,0.69,1.0,50,105.62
84,51.51,12.89,2,0.66,1.2,110,128.37
84,95.68,11.25,2,0.94,1.0,30,184.78
84,70.53,6.07,2,0.92,1.5,110,124.27
62,49.93,20.23,2,0.9,1.2,30,162.69
62,55.63,3.53,1,0.46,1.0,110,118.65
55,82.52,6.37,2,0.96,1.0,30,124.87
76,89.42,8.95,0,0.6,1.2,80,123.68
76,102.69,11.75,2,0.86,1.2,110,68.44
84,79.89,13.32,2,0.89,1.2,80,90.24
55,51.02,4.65,2,0.29,1.0,80,113.39
84,80.97,6.09,0,0.4,1.0,30,287.26
68,64.09,23.01,1,0.15,1.0,50,141.0
62,61.64,4.25,0,0.62,1.2,30,259.19
68,43.45,5.7,1,0.64,1.0,110,167.5
84,109.48,20.62,1,0.38,1.0,110,84.72
62,52.32,24.77,2,0.19,1.0,110,75.96
55,93.85,5.65,2,0.78,1.0,110,49.15
15,70.78,13.75,2,0.35,1.0,80,21.0
62,77.27,6.64,2,0.98,1.0,110,65.6
68,71.66,21.57,2,0.87,1.0,110,71.34
68,50.01,17.36,2,0.83,1.0,110,95.7
84,106.94,22.26,2,0.52,1.0,110,58.62
68,71.41,4.79,2,0.34,1.0,30,234.05
15,40.71,22.0,0,0.51,1.0,110,46.61
62,75.84,19.53,1,0.5,1.2,80,107.9
76,74.94,4.89,2,0.2,1.0,110,106.5
68,51.45,8.53,2,0.51,1.5,80,128.82
55,93.4,16.76,2,0.63,1.0,80,53.23
62,58.52,6.61,2,0.26,1.0,110,68.69
55,68.95,18.42,2,0.26,1.0,80,53.83
62,86.93,22.15,2,0.28,1.2,50,95.31
55,93.92,15.11,2,0.19,1.0,80,46.02
55,51.38,7.78,1,0.76,1.0,110,121.75
55,103.01,4.04,1,0.67,1.2,30,232.99
55,94.54,14.49,1,0.42,1.2,30,229.16
62,72.66,14.86,2,0.62,1.0,30,136.08
76,64.75,4.36,2,0.37,1.0,80,127.1
62,71.16,12.62,2,0.42,1.2,80,69.83
62,49.76,17.13,2,0.62,1.2,80,100.27
68,100.87,16.38,0,0.42,1.2,30,283.05
62,106.98,2.18,0,0.71,1.0,110,71.54
76,76.37,15.28,2,0.31,1.0,110,66.06
15,76.02,17.28,1,0.23,1.0,80,24.96
68,49.07,9.75,2,0.2,1.0,30,141.02
84,85.6,5.32,2,0.22,1.0,110,64.58
62,64.98,18.11,2,0.12,1.0,80,61.87
68,87.74,10.57,2,0.16,1.0,110,48.03
55,45.03,17.95,2,0.66,1.2,110,100.11
62,59.7,22.09,2,0.58,1.0,50,85.08
68,79.11,7.52,2,0.78,1.0,80,66.07
15,100.98,5.91,0,0.21,1.0,110,19.4
76,108.56,6.2,2,0.29,1.0,80,62.88
68,66.65,17.35,2,0.65,1.2,30,176.02
76,71.77,22.37,2,0.71,1.0,80,74.73
62,40.71,21.75,2,0.44,1.0,80,99.1
68,79.41,13.56,2,0.62,1.0,110,60.53
15,89.88,5.83,2,0.41,1.0,110,18.21
68,104.11,6.36,0,0.39,1.2,110,86.76
62,52.67,14.72,2,0.81,1.5,110,120.22
76,57.14,9.77,0,0.91,1.0,110,149.67
15,72.04,23.56,0,0.81,1.0,110,35.19
68,60.35,11.63,2,0.92,1.0,80,85.27
76,48.13,21.48,1,0.15,1.0,110,162.44
15,98.66,24.07,2,0.57,1.0,30,38.94
76,40.03,19.38,1,0.86,1.0,110,203.75
84,105.72,9.16,2,0.2,1.0,80,67.09
15,109.89,16.06,1,0.48,1.0,80,28.83
15,53.52,23.94,1,0.83,1.0,110,41.0
76,106.54,7.04,2,0.29,1.5,30,233.01
15,100.18,13.18,2,0.58,1.0,110,18.56
15,91.28,13.43,2,0.22,1.0,30,34.68
76,82.13,2.73,2,0.96,1.0,110,108.45
68,109.25,23.1,2,0.2,1.0,50,88.89
62,70.66,15.05,1,0.54,1.2,110,116.35
15,79.26,17.35,1,0.23,1.0,110,23.13
55,102.42,10.78,2,0.69,1.0,80,54.75
84,106.5,5.53,0,0.58,1.0,110,89.69
76,77.7,23.39,2,0.34,1.5,110,96.83
55,106.99,23.02,2,0.98,1.0,50,81.89
62,41.77,9.65,1,0.14,1.0,110,152.45
62,95.78,6.4,2,0.54,1.5,110,69.77
15,63.96,4.83,2,0.21,1.0,80,29.28
62,69.03,2.56,2,0.83,1.2,80,122.16
68,90.65,8.5,0,0.25,1.0,110,81.27
15,45.07,4.48,2,0.78,1.0,80,48.61
55,92.63,16.73,2,0.36,1.0,80,49.28
68,74.82,20.3,1,0.21,1.0,110,95.08
84,83.48,8.45,2,0.14,1.2,110,75.8
55,46.66,7.57,2,0.59,1.0,50,81.82
62,79.93,22.21,1,0.66,1.0,80,87.85
76,60.51,8.04,2,0.74,1.0,110,88.7
55,103.18,24.19,2,0.29,1.0,110,38.63
15,91.82,7.92,2,0.6,1.0,80,23.03
68,58.04,8.5,0,0.72,1.0,50,149.34
62,97.18,6.81,2,0.7,1.0,80,58.83
68,48.64,7.65,1,0.26,1.0,80,144.71
84,80.35,6.28,1,0.33,1.0,110,112.37
84,50.07,5.3,2,0.16,1.0,50,105.25
76,105.74,13.19,2,0.8,1.2,110,64.94
84,58.17,16.64,2,0.65,1.0,50,113.55
84,64.1,17.33,2,0.17,1.0,30,171.62
84,52.28,16.94,2,0.32,1.2,80,122.73
68,91.7,18.9,2,0.37,1.0,110,50.17
84,98.83,9.57,2,0.84,1.2,80,90.32
55,88.85,3.03,2,0.89,1.0,80,84.64
55,85.62,13.13,2,0.87,1.0,80,56.79
55,80.07,23.93,2,0.68,1.5,110,73.89
15,44.06,18.0,2,0.42,1.0,110,30.65
62,49.71,9.76,2,0.28,1.0,110,80.16
76,104.93,15.03,2,0.91,1.5,110,80.7
62,100.05,19.15,0,0.63,1.2,110,85.36
84,55.23,7.89,2,0.64,1.0,80,101.4
15,57.92,10.45,2,0.61,1.0,110,25.27
76,87.77,11.32,2,0.33,1.0,110,59.56
15,74.43,13.19,2,0.2,1.0,80,17.91
68,93.32,20.08,1,0.57,1.2,80,113.92
68,53.95,15.8,2,0.28,1.0,110,81.46
62,88.5,6.92,2,0.56,1.0,80,56.51
55,101.61,11.85,0,0.58,1.0,80,81.26
84,50.12,9.46,1,0.15,1.0,50,171.64
